# W0_kgf Wf_kgf AR_w xr_w S_w sweep_w x_mlg tcr_w z_lg y_mlg
290758 110994 9.80032 16.1437 358.148 0.604787 29.3762 0.204898 -6.02491 6.94376
290758 110994 9.80032 16.1406 358.148 0.604787 29.3762 0.204898 -6.05945 6.94182
290770 110955 9.80042 16.1364 358.734 0.604787 29.3808 0.204898 -6.02915 6.94229
290776 110865 9.8008 16.1352 359.091 0.604787 29.3808 0.203935 -6.02679 6.94205
290828 110677 9.79967 16.1133 360.473 0.604774 29.3759 0.20219 -6.00801 6.93591
290867 110661 9.79464 16.1136 360.87 0.604774 29.3793 0.20188 -6.04375 6.93645
290867 110661 9.79464 16.1136 360.87 0.604774 29.3793 0.20188 -6.04375 6.93645
290868 110659 9.79464 16.1136 360.9 0.604774 29.3794 0.201879 -6.0084 6.93643
290870 110639 9.7946 16.1136 360.9 0.604787 29.3758 0.201564 -6.0084 6.93637
291123 110406 9.79262 16.0027 367.397 0.604674 29.3757 0.203101 -6.00609 6.94222
291124 110342 9.79292 16.0031 367.319 0.604782 29.3756 0.202106 -6.00894 6.94376
291126 110196 9.80055 16.0082 367.17 0.604782 29.3756 0.200022 -6.01317 6.94381
291131 110185 9.80055 16.0092 367.17 0.604781 29.3758 0.199818 -6.09883 6.94381
291171 110094 9.80072 16.012 366.824 0.604781 29.3742 0.197718 -6.02594 6.94369
291201 110068 9.80072 16.012 367.427 0.604781 29.3742 0.197749 -6.00639 6.9422
291207 110062 9.80072 16.012 367.529 0.604781 29.3742 0.197718 -6.02594 6.94368
291209 110062 9.80071 16.0111 367.553 0.604777 29.3742 0.197718 -6.02594 6.94368
291253 109996 9.80072 16.0118 367.427 0.604781 29.3742 0.196197 -6.00639 6.9422
291291 109939 9.79311 16.0157 367.232 0.605315 29.3756 0.19478 -6.00627 6.94222
291291 109891 9.80998 15.9966 368.833 0.60478 29.3738 0.196226 -6.02342 6.93599
291300 109889 9.80927 15.9954 368.86 0.604778 29.3808 0.196109 -6.14169 6.94141
291303 109887 9.80927 15.9954 368.908 0.604778 29.3808 0.196109 -6.14235 6.94141
291316 109871 9.80927 15.9954 368.86 0.604778 29.3808 0.195704 -6.14169 6.94141
291364 109821 9.80927 15.9952 368.833 0.60478 29.3792 0.194515 -6.13933 6.94112
291368 109817 9.80927 15.9952 368.833 0.60478 29.3808 0.194421 -6.13933 6.9414
291371 109816 9.80927 15.9954 368.86 0.604778 29.3808 0.194397 -6.14169 6.94141
291375 109806 9.80979 15.9952 368.833 0.60478 29.3809 0.194207 -6.02151 6.94131
291452 109745 9.80971 15.9954 369.095 0.604778 29.3809 0.192918 -6.1417 6.94141
291562 109742 9.8004 15.9974 369.769 0.604787 29.3808 0.192295 -6.02761 6.94393
291569 109738 9.8004 16.003 369.887 0.604787 29.3808 0.192314 -6.06203 6.94397
291598 109718 9.8004 16.003 369.887 0.604787 29.3807 0.191762 -6.05944 6.94397
291753 109710 9.79301 15.9246 373.663 0.60478 29.3808 0.194132 -6.02599 6.94366
291753 109710 9.79301 15.9244 373.663 0.60478 29.3808 0.194132 -6.02648 6.94366
291771 109708 9.7931 15.9225 374.245 0.60478 29.3806 0.194576 -6.00605 6.94399
291779 109701 9.79311 15.9225 374.247 0.60478 29.3794 0.194408 -6.00554 6.94371
291782 109696 9.79301 15.9246 374.086 0.60478 29.3808 0.194132 -6.02637 6.94366
291787 109680 9.7931 15.9268 373.442 0.604788 29.3808 0.193164 -6.14412 6.94374
291798 109675 9.7931 15.9268 373.606 0.604788 29.3808 0.193164 -6.14412 6.94224
291800 109673 9.79328 15.9268 373.66 0.604788 29.3808 0.193182 -6.06126 6.94374
291811 109665 9.79328 15.9294 373.613 0.604788 29.3759 0.192916 -6.0606 6.94374
291814 109663 9.79328 15.9268 373.66 0.604788 29.3808 0.192916 -6.06126 6.94374
291814 109663 9.79328 15.9294 373.661 0.604788 29.3758 0.192916 -6.06126 6.94374
291820 109607 9.8004 15.9275 373.67 0.604787 29.3808 0.192314 -6.00805 6.9437
291832 109601 9.80042 15.9275 373.66 0.604777 29.3806 0.192096 -6.00548 6.9437
291890 109598 9.79529 15.9265 373.204 0.604787 29.3764 0.190871 -6.06135 6.94224
291898 109504 9.80927 15.9291 374.065 0.604782 29.3766 0.190868 -6.06062 6.94392
291898 109504 9.80927 15.9284 374.065 0.604782 29.3766 0.190868 -6.06062 6.94392
292030 109503 9.79992 15.9237 374.364 0.604781 29.3751 0.18968 -6.03803 6.94225
292032 109503 9.79991 15.9228 374.389 0.604777 29.3751 0.18968 -6.03803 6.94225
292039 109502 9.7995 15.9237 374.315 0.604781 29.3808 0.189523 -6.03802 6.94388
292040 109502 9.79951 15.9237 374.325 0.604781 29.3751 0.189516 -6.03803 6.94388
292043 109500 9.79951 15.9237 374.364 0.604781 29.3751 0.189512 -6.03802 6.94225
292063 109491 9.7995 15.9258 374.365 0.604781 29.3791 0.189205 -6.0432 6.9437
292064 109491 9.7995 15.9258 374.365 0.604781 29.3808 0.189195 -6.03802 6.94226
292066 109489 9.79992 15.9237 374.851 0.604781 29.3748 0.189687 -6.03802 6.94225
292069 109485 9.79992 15.9229 374.851 0.604806 29.3756 0.189616 -6.00543 6.94225
